row,order,t,acc_mean,acc_sd,masked_mean,masked_sd
3 R3(k=8)＋L1(r=2) v2,reverse,1,0.980417,0.031553,0.980417,0.031553
3 R3(k=8)＋L1(r=2) v2,reverse,2,0.958995,0.024392,0.966013,0.022562
3 R3(k=8)＋L1(r=2) v2,reverse,3,0.930929,0.025195,0.945125,0.022190
3 R3(k=8)＋L1(r=2) v2,reverse,4,0.898722,0.022151,0.929742,0.017116
3 R3(k=8)＋L1(r=2) v2,paper,1,0.904402,0.030634,0.904402,0.030634
3 R3(k=8)＋L1(r=2) v2,paper,2,0.892977,0.029009,0.909213,0.020731
3 R3(k=8)＋L1(r=2) v2,paper,3,0.901574,0.024104,0.920981,0.019235
3 R3(k=8)＋L1(r=2) v2,paper,4,0.893962,0.022873,0.922809,0.016406
5 D1：AR＋L1(r=2) v2,reverse,1,0.980417,0.031553,0.980417,0.031553
5 D1：AR＋L1(r=2) v2,reverse,2,0.959562,0.025154,0.967295,0.022237
5 D1：AR＋L1(r=2) v2,reverse,3,0.933439,0.029034,0.943192,0.027627
5 D1：AR＋L1(r=2) v2,reverse,4,0.917585,0.025204,0.934456,0.020095
5 D1：AR＋L1(r=2) v2,paper,1,0.904402,0.030634,0.904402,0.030634
5 D1：AR＋L1(r=2) v2,paper,2,0.901751,0.026112,0.911811,0.020940
5 D1：AR＋L1(r=2) v2,paper,3,0.915426,0.022695,0.924344,0.019281
5 D1：AR＋L1(r=2) v2,paper,4,0.913170,0.021026,0.927416,0.018031
6 D3：AR＋I6(r=2)（主系統）,reverse,1,0.960833,0.054723,0.960833,0.054723
6 D3：AR＋I6(r=2)（主系統）,reverse,2,0.953226,0.035362,0.957835,0.033158
6 D3：AR＋I6(r=2)（主系統）,reverse,3,0.936030,0.023173,0.943699,0.023819
6 D3：AR＋I6(r=2)（主系統）,reverse,4,0.912802,0.025805,0.931241,0.021508
6 D3：AR＋I6(r=2)（主系統）,paper,1,0.895848,0.038989,0.895848,0.038989
6 D3：AR＋I6(r=2)（主系統）,paper,2,0.896377,0.033553,0.906436,0.028918
6 D3：AR＋I6(r=2)（主系統）,paper,3,0.914947,0.023339,0.923758,0.020414
6 D3：AR＋I6(r=2)（主系統）,paper,4,0.912802,0.025805,0.931241,0.021508
